2025-06-16 23:09:18 | INFO     | logging_config.py:93   | initialize() | ============================================================
2025-06-16 23:09:18 | INFO     | logging_config.py:94   | initialize() | UNIFIED SCREENER SYSTEM STARTING
2025-06-16 23:09:18 | INFO     | logging_config.py:95   | initialize() | Log Level: INFO
2025-06-16 23:09:18 | INFO     | logging_config.py:96   | initialize() | Log File: logs\unified_20250616.log
2025-06-16 23:09:18 | INFO     | logging_config.py:97   | initialize() | Console Output: True
2025-06-16 23:09:18 | INFO     | logging_config.py:98   | initialize() | All modules will log to this unified logger
2025-06-16 23:09:18 | INFO     | logging_config.py:99   | initialize() | ============================================================
2025-06-16 23:10:10 | INFO     | logging_config.py:93   | initialize() | ============================================================
2025-06-16 23:10:10 | INFO     | logging_config.py:94   | initialize() | UNIFIED SCREENER SYSTEM STARTING
2025-06-16 23:10:10 | INFO     | logging_config.py:95   | initialize() | Log Level: INFO
2025-06-16 23:10:10 | INFO     | logging_config.py:96   | initialize() | Log File: logs\unified_20250616.log
2025-06-16 23:10:10 | INFO     | logging_config.py:97   | initialize() | Console Output: True
2025-06-16 23:10:10 | INFO     | logging_config.py:98   | initialize() | All modules will log to this unified logger
2025-06-16 23:10:10 | INFO     | logging_config.py:99   | initialize() | ============================================================
2025-06-16 23:11:35 | INFO     | logging_config.py:93   | initialize() | ============================================================
2025-06-16 23:11:35 | INFO     | logging_config.py:94   | initialize() | UNIFIED SCREENER SYSTEM STARTING
2025-06-16 23:11:35 | INFO     | logging_config.py:95   | initialize() | Log Level: INFO
2025-06-16 23:11:35 | INFO     | logging_config.py:96   | initialize() | Log File: logs\unified_20250616.log
2025-06-16 23:11:35 | INFO     | logging_config.py:97   | initialize() | Console Output: True
2025-06-16 23:11:35 | INFO     | logging_config.py:98   | initialize() | All modules will log to this unified logger
2025-06-16 23:11:35 | INFO     | logging_config.py:99   | initialize() | ============================================================
